Title,Year,DOI,Abstract,Data Category,Data Type,Broad_Data_Category,Model Used,Broad_Model_Category,Sample Size,Data Source,Study Population Details,True N Verification,Broad Validation Approach,Validation Approach,Their Limitations,Research Result,Our Critical Analysis,Inclusion/Exclusion Decision,Reasoning,Broad_Reasoning_Category,Further Exclusion based on sample size,ACM,Where was the study done,Column1,"Further Exclusion based on sufficient methodological detail and evaluation evidence eg, very short paper",Studies with Potential Data Leakage (Non-Subject-Independent)?,_leakage_detail,_source_db,_pub_title,score,score_reasons,DOI_clean,Title_clean,title_exclude,autism_primary
Deep Manifold Harmonic Network With Dual Attention for Brain Disorder Classification,2023,10.1109/JBHI.2022.3220545,"Numerous studies have shown that accurate analysis of neurological disorders contributes to the early diagnosis of brain disorders and provides a window to diagnose psychiatric disorders due to brain atrophy. The emergence of geometric deep learning approaches provides a new way to characterize geometric variations on brain networks. However, brain network data suffer from high heterogeneity and noise. Consequently, geometric deep learning methods struggle to identify discriminative and clinically meaningful representations from complex brain networks, resulting in poor diagnostic accuracy. Hence, the primary challenge in the diagnosis of brain diseases is to enhance the identification of discriminative features. To this end, this paper presents a dual-attention deep manifold harmonic discrimination (DA-DMHD) method for early diagnosis of neurodegenerative diseases. Here, a low-dimensional manifold projection is first learned to comprehensively exploit the geometric features of the brain network. Further, attention blocks with discrimination are proposed to learn a representation, which facilitates learning of group-dependent discriminant matrices to guide downstream analysis of group-specific references. Our proposed DA-DMHD model is evaluated on two independent datasets, ADNI and ADHD-200. Experimental results demonstrate that the model can tackle the hard-to-capture challenge of heterogeneous brain network topological differences and obtain excellent classifying performance in both accuracy and robustness compared with several existing state-of-the-art methods.",Genetic,Genetic Data,Biological,Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,Not specified,UNVERIFIED,Independent Test Set,Independent Test Set,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,China,,Adequate: 12 pages,Possible,Medium Risk - verify,IEEE Journals,IEEE Journal of Biomedical and Health Informatics,14,Validation described; Subject-independent validation; Journal/indexed source; Uses ADHD-200 dataset; Detailed abstract; 12-page paper,10.1109/jbhi.2022.3220545,deep manifold harmonic network with dual attention for brain disorder classification,False,False
Diagnosing ADHD with 1D-CNN: Efficient Analysis of fMRI Data,2025,10.1117/12.3056040,"Attention Deficit Hyperactivity Disorder (ADHD) is a type of neurodevelopmental disease affecting the mental health of children and adults. So accurate diagnosis as early as possible is essential. Several conventional diagnostic methodologies, along with machine learning and deep learning-based methodologies, have been devised. Nevertheless, there are still certain deficiencies. Therefore, this study addresses the need for precise and timely detection of ADHD, emphasizing the shortcomings of existing applications. Utilizing resting-state functional MRIs, this study proposes a method based on a 1-dimensional Convolution Neural Network (1D-CNN) for the diagnosis of ADHD. The dataset employed in this study consists of 192 subjects including 78 ADHD patients and 114 healthy controls. The independent components have been extracted which treated as feature channels using Independent Component Analysis and then passed to 1D-CNN for classification. Experimental results reveal that the proposed model achieves 80.21 % accuracy, 84.21 % precision, 82.76% recall, 0.90 AUC, and 3709.12 seconds execution time. The results of this model have been also compared with other methods which indicate that the proposed model outperforms them in terms of all evaluation metrics. © 2025 SPIE.",fMRI,Neuroimaging (fMRI),Neuroimaging,CNN/ConvNet; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,192,Not specified,"Children, Adults, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Borderline: n=192,No,Not specified,,Not assessed,Unknown,Not clearly stated,Scopus,,14,Adequate n=192; Validation described; Journal/indexed source; Reports 4 metrics; Detailed abstract,10.1117/12.3056040,diagnosing adhd with 1d-cnn: efficient analysis of fmri data,False,False
Effectiveness of Integrating Activity and HRV Features for ADHD classification,2025,10.1109/ICoDT269104.2025.11360719,"Attention-Deficit/Hyperactivity Disorder (ADHD) is one of the most prevalent brain-based disorder conditions in children. However, its diagnosis in clinical practice still relies largely on subjective assessments. To introduce a more consistent and data-driven approach, this study utilizes the publicly available Hyperaktiv dataset, which comprises motor activity and heart rate variability (HRV) recordings from 103 participants (51 diagnosed with ADHD and 52 serving as clinical controls). We extracted 788 statistical descriptors of the time-series data using the tsfresh library and then applied SelectKBest for feature reduction to retain the most informative predictors. Five machine learning classifiers that are Support Vector Machine (SVM), k-Nearest Neighbors (KNN), NaÃ¯ve Bayes (NB), LogitBoost, and Random Forest (RF) were trained and evaluated across different feature subsets. Our results show that the integration of activity and HRV features improves model performance, with SVM achieving the highest accuracy of 92.3%, F1-measure of 92.7%, and AUC of 0.97. These findings demonstrate the potential of combining wearable sensor data with optimized machine learning methods to provide more objective and reliable ADHD classification, supporting future data-driven clinical decision-making.",Wearable/Actigraphy,Wearable Sensor,Wearable,SVM; Random Forest; KNN,Machine Learning,103,Not specified,"Children, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Borderline: n=103,No,Pakistan,,Adequate: 6 pages,Unknown,Not clearly stated,IEEE Conferences,2025 5th International Conference on Digital Futures and Transformative Technologies (ICoDT2),13,Adequate n=103; Validation described; Reports 3 metrics; Detailed abstract; 6-page paper,10.1109/icodt269104.2025.11360719,effectiveness of integrating activity and hrv features for adhd classification,False,False
Prediction of attention deficit hyperactivity disorder using the comprehensive attention test: a large-scale machine learning approach,2025,10.3389/fpsyt.2025.1574615,"Background The diagnosis of attention deficit hyperactivity disorder (ADHD) relies on comprehensive approaches, including clinical interviews, scales, and neuropsychological assessments. However, the process is often limited by issues of reliability and availability.Objective This study aims to develop a robust machine learning (ML) model using large-scale data from the Comprehensive Attention Test (CAT) to predict ADHD diagnoses.Methods A total of 11,429 participants were recruited across South Korea and underwent the CAT. Of these, 7,737 were diagnosed with ADHD, including 6,772 with comorbid psychiatric conditions. Additionally, 850 individuals were included as a normal comparison group. Eight ML models were trained on a balanced dataset and validated using 5-fold cross-validation.Results The CAT, when combined with the ML model, achieved an accuracy exceeding 0.98 in distinguishing pure ADHD cases from normal comparison groups. Classification accuracy was particularly high when distinguishing ADHD with comorbid externalizing disorders from normal control groups, especially in cases with more severe ADHD symptoms.Conclusion The findings of this study suggest that the CAT, integrated with machine learning models, could serve as a promising tool for diagnosing ADHD.",Multimodal,Multimodal,Multimodal,Not specified,Not specified,850,Own/Private dataset,ADHD vs Control,VERIFIED,Cross-Validation,k-Fold Cross-Validation,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=850,No,Not specified,,Not assessed,Possible,Medium Risk - verify,View Full Record in Web of Science,,13,Large n=850; Validation described; Journal/indexed source; Reports 2 metrics; Detailed abstract,10.3389/fpsyt.2025.1574615,prediction of attention deficit hyperactivity disorder using the comprehensive attention test: a large-scale machine learning approach,False,False
Exploring ADHD anatomic patterns by a multiresolution curvelet analysis,2023,10.1109/SIPAIM56729.2023.10373528,"Attention-deficiyhyperactivity disorder (ADHD) has become a common functional disorder in children and adolescents. However, diagnosing this condition is challenging since it relies exclusively in subjective biased clinical evaluation. Despite ongoing research, findings of structural changes in specific brain areas are inconsistent and hardly reproducible. This study explores how local and regional relationships may provide an alternative description of ADHD by a curvelet analysis of a set of brain regions expressing ADHD differences. Curvelets may capture differences at several scales, either circumvolution variations or local geometrical organization changes. Once data are projected to the curvelet space, each frequency subband is approximated by a generalized Gaussian with parameters mean Î¼, spread Î±, and decay Î². Several binary classifiers were then trained and independently applied with each of these parameters to distinguish ADHD and typically developing (TD) conditions in 164 subjects from the open ADHD200 database. Classifier performance was evaluated using precision, sensitivity, and specificity under a 70/30 validation scheme. Best classification accuracy was 72% with the spread Î± parameter from the left putamen applying a Logistic Regression Classifier. As these differences come from high scales, they might be attributed to different sulci morphology at local level.",Genetic,Genetic Data,Biological,GAN; Random Forest; Logistic Regression,Deep Learning + Machine Learning,164,ADHD-200,"Children, Adolescents, ADHD vs Control",VERIFIED,Train/Test Split,Train/Test Split,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Borderline: n=164,No,Not specified,,Borderline: 5 pages,Possible,Medium Risk - verify,IEEE Conferences,2023 19th International Symposium on Medical Information Processing and Analysis (SIPAIM),13,Adequate n=164; Validation described; Uses ADHD-200 dataset; Reports 4 metrics; Detailed abstract,10.1109/sipaim56729.2023.10373528,exploring adhd anatomic patterns by a multiresolution curvelet analysis,False,False
Machine Learning Approach for ADHD Diagnosis in Children using EEG,2025,10.1109/ICISCN64258.2025.10934201,"ADHD is a neurodevelopmental disorder that has been found to affect children's concentration and behavior. Early and accurate diagnosis are critical for timely intervention. This paper suggests a machine learning approach in classifying ADHD in children using EEG signals. From 120 children, with 60 having ADHD and 60 without, the EEG data were analyzed by extracting 11 features that represent different brain activity patterns. The SVM feature selection process identified the 10 most relevant EEG channels that enhanced classification performance. Of the six machine learning models tested, Fine KNN reached an accuracy of 98%, which is more precise and has better recall than other methods. This work has the potential for the efficient, non-invasive diagnosis of ADHD by EEG and machine learning techniques and is on the path toward clinical application.  © 2025 IEEE.",EEG,EEG Signal,Neurophysiological,SVM; Random Forest; KNN,Machine Learning,120,Not specified,Children,VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Borderline: n=120,No,Not specified,,Not assessed,Unknown,Not clearly stated,Scopus,,13,Adequate n=120; Validation described; Journal/indexed source; Reports 3 metrics; Detailed abstract,10.1109/iciscn64258.2025.10934201,machine learning approach for adhd diagnosis in children using eeg,False,False
Improving Machine Learning Prediction of ADHD Using Gene Set Polygenic Risk Scores and Risk Scores From Genetically Correlated Phenotypes,2025,10.1002/ajmg.b.33043,"Polygenic risk scores (PRSs), which sum the effects of SNPs throughout the genome to measure risk afforded by common genetic variants, have improved our ability to estimate disorder risk for Attention-Deficit/Hyperactivity Disorder (ADHD) but the accuracy of risk prediction is rarely investigated. In a study of 10,887 participants across nine cohorts, we performed gene set analysis of GWAS data to select gene sets associated with ADHD within a training subset. For each gene set, we generated gene set polygenic risk scores (gsPRSs), which sum the effects of SNPs for each selected gene set. We created gsPRS for ADHD and for phenotypes that are genetically correlated with ADHD. These gsPRS were added to the standard PRS as input to machine learning models predicting ADHD. On the test subset, a random forest (RF) model using PRSs from ADHD and genetically correlated phenotypes and an optimized group of 20 gsPRS had an area under the receiving operating characteristic curve (AUC) of 0.72 (95% CI: 0.70–0.74). This AUC was a statistically significant improvement over logistic regression models and RF models using only PRS from ADHD and genetically correlated phenotypes. Summing risk at the gene set level and incorporating genetic risk from disorders with high genetic correlations with ADHD improved the accuracy of predicting ADHD. Learning curves suggest that additional improvements would be expected with larger study sizes. Our study suggests that better accounting of genetic risk and the genetic context of allelic differences results in more predictive models. © 2025 Wiley Periodicals LLC.",Text/NLP,Text/NLP,Behavioral,Random Forest; Logistic Regression,Machine Learning,887,Not specified,Not specified,VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=887,No,Not specified,,Not assessed,Unknown,Not clearly stated,Scopus,,13,Large n=887; Validation described; Journal/indexed source; Reports 2 metrics; Detailed abstract,10.1002/ajmg.b.33043,improving machine learning prediction of adhd using gene set polygenic risk scores and risk scores from genetically correlated phenotypes,False,False
"Machine Learning for ADHD Diagnosis: Feature Selection from Parent Reports, Self-Reports and Neuropsychological Measures",2025,10.3390/children12111448,"Highlights What are the main findings? Social problems, executive dysfunction, and self-regulation were top predictors of ADHD beyond core symptoms across machine learning models. Ex-Gaussian reaction-time parameters outperformed traditional indices of the continuous performance task. What is the implication of the main finding? Prioritizing these key predictors can streamline ADHD assessment and support earlier referral and intervention. Interpretable machine learning models can support clinical decision-making by highlighting the most informative features.Highlights What are the main findings? Social problems, executive dysfunction, and self-regulation were top predictors of ADHD beyond core symptoms across machine learning models. Ex-Gaussian reaction-time parameters outperformed traditional indices of the continuous performance task. What is the implication of the main finding? Prioritizing these key predictors can streamline ADHD assessment and support earlier referral and intervention. Interpretable machine learning models can support clinical decision-making by highlighting the most informative features.Abstract Background: Attention-deficit/hyperactivity disorder (ADHD) is a heterogeneous neurodevelopmental condition that currently relies on subjective clinical judgment for diagnosis, emphasizing the need for objective, clinically applicable tools. Methods: We applied machine learning techniques to parent reports, self-reports, and performance-based measures in a sample of 255 Taiwanese children and adolescents (108 ADHD and 147 controls; mean age = 11.85 years). Models were trained under a nested cross-validation framework to avoid performance overestimation. Results: Most models achieved high classification accuracy (AUCs approximate to 0.886-0.906), while convergent feature importance across models highlighted parent-rated social problems, executive dysfunction, and self-regulation traits as robust predictors. Additionally, ex-Gaussian parameters derived from reaction time distributions on the Continuous Performance Test (CPT) proved more informative than raw scores. Conclusions: These findings support the utility of integrating multi-informant ratings and task-based measures in interpretable ML models to enhance ADHD diagnosis in clinical practice.",Behavioral Assessment,Clinical/Behavioral,Behavioral,Random Forest,Machine Learning,255,Not specified,"Children, Adolescents, ADHD vs Control",VERIFIED,Cross-Validation,k-Fold Cross-Validation,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=255,No,Not specified,,Not assessed,Unknown,Not clearly stated,View Full Record in Web of Science,,13,Good n=255; Validation described; Journal/indexed source; Reports 2 metrics; Detailed abstract,10.3390/children12111448,"machine learning for adhd diagnosis: feature selection from parent reports, self-reports and neuropsychological measures",False,False
The Genetic Architecture of the Human Corpus Callosum and its Subregions,2025,10.1038/s41467-025-64791-3,"The corpus callosum (CC) is the largest set of white matter fibers connecting the two hemispheres of the brain. In humans, it is essential for coordinating sensorimotor responses and performing associative or executive functions. Identifying which genetic variants underpin CC morphometry can provide molecular insights into the CC's role in mediating cognitive processes. We developed and used an artificial intelligence based tool to extract the midsagittal CC's total and regional area and thickness in two large public datasets. We performed a genome-wide association study (GWAS) meta-analysis of European participants (combined N = 46,685) with generalization to the non-European participants (combined N = 7040). Post-GWAS analyses implicated prenatal intracellular organization and cell growth patterns, and high heritability in regions of open chromatin. Results suggest programmed cell death mediated by the immune system drives the thinning of the posterior body and isthmus. Genetic overlap, and causal genetic liability, between the CC, cerebral cortex features, and neuropsychiatric disorders such as attention-deficit/hyperactivity, bipolar disorders, and Parkinson's disease were identified.",Multimodal,Multimodal,Multimodal,GAN; Random Forest,Deep Learning + Machine Learning,7040,Not specified,Not specified,VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=7040,No,Not specified,,Not assessed,Unknown,Not clearly stated,View Full Record in Web of Science,,13,Large n=7040; Validation described; Journal/indexed source; Detailed abstract,10.1038/s41467-025-64791-3,the genetic architecture of the human corpus callosum and its subregions,False,False
Beyond out-of-sample: robust and generalizable multivariate neuroanatomical patterns of psychiatric problems in youth,2025,10.1038/s41380-024-02855-4,"Mapping differential brain structures for psychiatric problems has been challenging due to a lack of regional convergence and poor replicability in previous brain-behavior association studies. By leveraging two independent large cohorts of neurodevelopment, the ABCD and Generation R Studies (total N = 11271), we implemented an unsupervised machine learning technique with a highly stringent generalizability test to identify reliable brain-behavior associations across diverse domains of child psychiatric problems. Across all psychiatric symptoms measured, one multivariate brain-behavior association was found, reflecting a widespread reduction of cortical surface area correlated with higher child attention problems. Crucially, this association showed marked generalizability across different populations and study protocols, demonstrating potential clinical utility. Moreover, the derived brain dimension score predicted child cognitive and academic functioning three years later and was also associated with polygenic scores for ADHD. Our results indicated that attention problems could be a phenotype for establishing promising multivariate neurobiological prediction models for children across populations. Future studies could extend this investigation into different development periods and examine the predictive values for assessment of functioning, diagnosis, and disease trajectory in clinical samples.",Genetic,Genetic Data,Biological,Random Forest,Machine Learning,11271,Not specified,"Children, Adolescents",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=11271,No,Not specified,,Not assessed,Unknown,Not clearly stated,View Full Record in Web of Science,,12,Large n=11271; Validation described; Journal/indexed source; Detailed abstract,10.1038/s41380-024-02855-4,beyond out-of-sample: robust and generalizable multivariate neuroanatomical patterns of psychiatric problems in youth,False,False
Optimized Temporal Denoised Convolutional Autoencoder for Enhanced ADHD Classification Using fMRI Data,2025,10.1109/ACCESS.2025.3539706,"Attention Deficit Hyperactivity Disorder (ADHD) is a neurodevelopmental disorder that affects individuals across all age groups, from childhood through adulthood, and can significantly impact daily functioning. Early and accurate diagnosis of ADHD is crucial in clinical practice to ensure effective intervention and management, which can improve patient outcomes. However, traditional classification methods, while effective in many classification tasks, often struggle to achieve high accuracy in ADHD diagnosis. These limitations highlight the need for more sophisticated approaches. In response to this challenge, this paper introduces two innovative deep learning models specifically designed for ADHD classification using functional magnetic resonance imaging (fMRI). We propose an Optimized Temporal Denoised Convolutional Autoencoder (OTDCAE) framework, which utilizes resting-state fMRI (rs-fMRI) data to enhance diagnostic accuracy. The model combines a Denoising Autoencoder (DAE) for spatial feature extraction with an Optimal Temporal Convolutional Network (OTCN) for temporal sequence classification, resulting in robust performance even with a limited dataset. Here, for optimizing the hyper-parameters of the Temporal Convolutional Network (TCN), the optimizer Adaptive Osprey Algorithm (AOA) is presented and it is named as OTCN. To evaluate the effectiveness of our approach, we applied it to the widely-used ADHD-200 dataset. The results demonstrate the modelâ€™s strong performance, achieving an impressive accuracy of 98.8% and an F-score of 98.5%, with 90% of the dataset used for training. These findings underscore the potential of deep learning techniques, particularly when applied to neuroimaging data, in advancing the accuracy and efficiency of ADHD diagnosis. Moreover, this research highlights the broader implications of integrating artificial intelligence (AI) into mental health assessments, offering promising avenues for future exploration and development in this field.",fMRI,Neuroimaging (fMRI),Neuroimaging,CNN/ConvNet; Autoencoder; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,"Children, Adults",UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,India,,Adequate: 15 pages,Possible,Medium Risk - verify,IEEE Journals,IEEE Access,12,Validation described; Journal/indexed source; Uses ADHD-200 dataset; Detailed abstract; 15-page paper,10.1109/access.2025.3539706,optimized temporal denoised convolutional autoencoder for enhanced adhd classification using fmri data,False,False
Individualized identification of sexual dysfunction of psychiatric patients with machine-learning,2022,10.1038/s41598-022-13642-y,"Sexual dysfunction (SD) is prevalent in patients with mental health disorders and can significantly impair their quality of life. Early recognition of SD in a clinical setting may help patients and clinicians to optimize treatment options of SD and/or other primary diagnoses taking SD risk into account and may facilitate treatment compliance. SD identification is often overlooked in clinical practice; we seek to explore whether patients with a high risk of SD can be identified at the individual level by assessing known risk factors via a machine learning (ML) model. We assessed 135 subjects referred to a tertiary mental health clinic in a Western Canadian city using health records data, including age, sex, physician's diagnoses, drug treatment, and the Arizona Sexual Experiences Scale (ASEX). A ML model was fitted to the data, with SD status derived from the ASEX as target outcomes and all other variables as predicting variables. Our ML model was able to identify individual SD cases-achieving a balanced accuracy of 0.736, with a sensitivity of 0.750 and a specificity of 0.721-and identified major depressive disorder and female sex as risk factors, and attention deficit hyperactivity disorder as a potential protective factor. This study highlights the utility of SD screening in a psychiatric clinical setting, demonstrating a proof-of-concept ML approach for SD screening in psychiatric patients, which has marked potential to improve their quality of life.",Clinical Records/EHR,Clinical Data,Clinical,Not specified,Not specified,135,Not specified,Not specified,VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Borderline: n=135,No,Not specified,,Not assessed,Unknown,Not clearly stated,View Full Record in Web of Science,,12,Adequate n=135; Validation described; Journal/indexed source; Reports 3 metrics; Detailed abstract,10.1038/s41598-022-13642-y,individualized identification of sexual dysfunction of psychiatric patients with machine-learning,False,False
Multidimensional ADHD Symptom Profiles: Associations with Adverse Childhood Experiences,2025,10.1093/arclin/acae050,"Objective: Adverse childhood experiences (ACEs) are associated with a range of negative health outcomes, including attention-deficit/hyperactivity disorder (ADHD) and neurocognitive deficits. This study identified symptom profiles in adult patients undergoing neuropsychological evaluations for ADHD and examined the association between these profiles and ACEs. Methods: Utilizing unsupervised machine learning models, the study analyzed data from 208 adult patients. Results: The Gaussian Mixture Model revealed two distinct symptom profiles: “Severely Impaired” and “Moderately Impaired”. The “Severely Impaired” profile, 23.6% of the sample, was characterized by more severe ADHD symptomatology in childhood and worse neurocognitive performance. The “Moderately Impaired” profile, 76.4% of the sample, had scores in the average range for self-reported internalizing and externalizing psychopathology and better neurocognitive performance. There was a greater number of ACEs reported by patients in the Severely Impaired profile than the Moderately Impaired profile (p = .022). Specifically, using an ACEs cutoff of ≥4, 53.1% of patients in the Severely Impaired profile reported four or more ACEs, compared with 34.6% in the Moderately Impaired profile (p = .020). Profiles were not related to clinician-ascribed diagnosis. Conclusions: Findings underscore the association between ACEs and worse symptom profiles marked by impaired neurocognitive function, increased internalizing and externalizing psychopathology, and heightened perceived stress in adults with ADHD. Future research may explore the effect of ACEs on symptom profiles in diverse populations and potential moderators or mediators of these associations. Findings offers valuable insights for clinicians in their assessment and treatment planning. © The Author(s) 2024. Published by Oxford University Press. All rights reserved.",Cognitive/Neuropsychological,Cognitive Test,Behavioral,Random Forest,Machine Learning,208,Not specified,"Children, Adults",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=208,No,Not specified,,Not assessed,Unknown,Not clearly stated,Scopus,,12,Good n=208; Validation described; Journal/indexed source; Detailed abstract,10.1093/arclin/acae050,multidimensional adhd symptom profiles: associations with adverse childhood experiences,False,False
Differentiating Functional Connectivity Patterns in ADHD and Autism Among the Young People: A Machine Learning Solution,2025,10.1177/10870547251315230,"Objective: ADHD and autism are complex and frequently co-occurring neurodevelopmental conditions with shared etiological and pathophysiological elements. In this paper, we attempt to differentiate these conditions among the young people in terms of intrinsic patterns of brain connectivity revealed during resting state using machine learning approaches. We had two key objectives: (a) to determine the extent to which ADHD and autism could be effectively distinguished via machine learning from one another on this basis and (b) to identify the brain networks differentially implicated in the two conditions. Method: Data from two publicly available resting-state functional magnetic resonance imaging (fMRI) resources—Autism Brain Imaging Data Exchange (ABIDE) and the ADHD-200 Consortium—were analyzed. A total of 330 participants (65 females and 265 males; mean age = 11.6 years), comprising equal subgroups of 110 participants each for ADHD, autism, and healthy controls (HC), were selected from the data sets ensuring data quality and the exclusion of comorbidities. We identified region-to-region connectivity values, which were subsequently employed as inputs to the linear discriminant analysis algorithm. Results: Machine learning models provided strong differentiation between connectivity patterns in participants with ADHD and autism—with the highest accuracy of 85%. Predominantly frontoparietal network alterations in connectivity discriminate ADHD individuals from autism and neurotypical group. Networks contributing to discrimination of autistic individuals from neurotypical group were more heterogeneous. These included language, salience, and frontoparietal networks. Conclusion: These results contribute to our understanding of the distinct neural signatures underlying ADHD and autism in terms of intrinsic patterns of brain connectivity. The high level of discriminability between ADHD and autism, highlights the potential role of brain based metrics in supporting differential diagnostics. © The Author(s) 2025.",fMRI,Neuroimaging (fMRI),Neuroimaging,Linear Discriminant Analysis,Machine Learning,330,ADHD-200,ADHD vs Control,VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=330,No,Not specified,,Not assessed,Possible,Medium Risk - verify,Scopus,,12,Good n=330; Validation described; Journal/indexed source; Uses ADHD-200 dataset; Detailed abstract,10.1177/10870547251315230,differentiating functional connectivity patterns in adhd and autism among the young people: a machine learning solution,False,False
Identifying ADHD in Children Through Behavioural Analysis,2025,10.1109/ICECMSN68058.2025.11382989,"This paper aims to identify the key factors of Attention Deficit Hyperactivity Disorder (ADHD) among the pediatric populations and to design a powerful machine-learning-based classifier, which will be able to distinguish children with ADHD. Information was obtained on the basis of the 20182019 National Survey of Children Health (NSCH), which included 45779 participants. In order to alleviate the issue of class imbalance and the need to allow all diagnostic subgroups to learn equally, a hybrid over- and under-sampling approach was adopted. Logistic Regression was then used to select subsequent features, hence isolating the most statistically salient predictors and producing the most parsimonious set of variables to train a model. The results align with the existing studies highlighting the importance of demographic, lifestyle, and environmental factors in the risk of ADHD, and they testify to the high predictive power of the modern machine-learning methods . The findings are also found in the general literature that illustrates that poor childhood experiences have significant effects in neurodevelopmental problems, and that it may alter the development or even the intensity of ADHD manifestations . In addition, longitudinal studies also support the value of familial milieu, cognitive functioning, and initial behavioral patterns in the development of the long-term trajectory of ADHD.. Therefore, the presented empirical evidence, in addition to supporting the current knowledge, also supplements it with a data-based, systematic model that improves screening and allows identifying ADHD in the pediatric population in a timely manner.",Genetic,Genetic Data,Biological,Random Forest; Logistic Regression,Machine Learning,45779,Not specified,Children,VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=45779,No,India,,Adequate: 6 pages,Unknown,Not clearly stated,IEEE Conferences,2025 5th International Conference on Evolutionary Computing and Mobile Sustainable Networks (ICECMSN),12,Large n=45779; Validation described; Detailed abstract; 6-page paper,10.1109/icecmsn68058.2025.11382989,identifying adhd in children through behavioural analysis,False,False
A dual path deep framework integrated with fuzzy random vector functional link for ADHD detection from fMRI data,2025,10.1007/s11760-025-04383-2,"One common neurodevelopmental issue that affects children is Attention Deficit/Hyperactivity issue (ADHD). Due to the complexity of its underlying mechanisms, there are currently few objective diagnostic methods available. This study introduces a novel deep learning (DL) model for ADHD detection using functional magnetic resonance imaging (fMRI) data, addressing limitations in existing intelligent data-driven methods. In order to do this, a dual route hybrid framework-based DL network architecture is introduced and used for the ADHD identification problem. A dual-path CNN-RNN network is first applied to fMRI to extract deep features. Specifically, the approach combines an initial convolution layer with a large kernel to mitigate noise-related challenges in biological data. A supervised random vector functional link (RVFL) classifier is utilized in the final layer of the architecture for classification. A fuzzy activation function was utilized for the RVFL classifier to address the uncertainty introduced by brain data. The ADHD-200 Consortium’s publicly available dataset was used for training and validating this approach. The efficiency of the suggested framework is confirmed by the trial findings. On average, the proposed framework achieved an accuracy of 91.47%, specificity of 89.03%, F1-score of 91.00%, and sensitivity of 93.05% in ADHD detection from fMRI scans. Through rigorous testing, this methodology achieved superior performance in ADHD detection compared to previously established methods. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2025.",fMRI,Neuroimaging (fMRI),Neuroimaging,CNN/ConvNet; RNN; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,Not reported,ADHD-200,Children,UNVERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Sample size not reported in abstract,No,Not specified,,Adequate: 788 pages,Possible,Medium Risk - verify,Scopus,,12,Validation described; Journal/indexed source; Uses ADHD-200 dataset; Reports 4 metrics; Detailed abstract,10.1007/s11760-025-04383-2,a dual path deep framework integrated with fuzzy random vector functional link for adhd detection from fmri data,False,False
